gen,q,d,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Achwa2_HPP,Q4,d5,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111
Bugoye_HPP,Q1,d1,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333
Bugoye_HPP,Q1,d2,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333
Bugoye_HPP,Q1,d3,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333
Bugoye_HPP,Q1,d4,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333
Bugoye_HPP,Q1,d5,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333,0.382833333
Bugoye_HPP,Q2,d1,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225
Bugoye_HPP,Q2,d2,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225
Bugoye_HPP,Q2,d3,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225
Bugoye_HPP,Q2,d4,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225
Bugoye_HPP,Q2,d5,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225,0.51225
Bugoye_HPP,Q3,d1,0.032527778,0.032527778,0.032527778,0.032527778,0.032527778,0.032527778,0.032527778,0.032527778,0.032527778,0.032527778,0.032527778,0.032527778,0.032527778,0.032527778,0.032527778,0.032527778,0.032527778,0.032527778,0.032527778,0.032527778,0.032527778,0.032527778,0.032527778,0.032527778
