gen	Q1	Q2	Q3	Q4
Small_Hydro_2021	0.49	0.5	0.52	0.53
Small_Hydro_2022	0.49	0.5	0.52	0.53
Small_Hydro_2023	0.49	0.5	0.52	0.53
Small_Hydro_2024	0.49	0.5	0.52	0.53
Small_Hydro_2025	0.49	0.5	0.52	0.53
Small_Hydro_2026	0.99	0.99	0.99	0.99
Generic_Rooftop_2021	0.99	0.99	0.99	0.99
Generic_Rooftop_2022	0.99	0.99	0.99	0.99
Generic_Rooftop_2023	0.99	0.99	0.99	0.99
Generic_Rooftop_2024	0.99	0.99	0.99	0.99
Generic_Rooftop_2025	0.99	0.99	0.99	0.99
Generic_Rooftop_2026	0.99	0.99	0.99	0.99
Generic_Rooftop_2027	0.99	0.99	0.99	0.99
Generic_Rooftop_2028	0.99	0.99	0.99	0.99
Generic_Rooftop_2029	0.99	0.99	0.99	0.99
Generic_Rooftop_2030	0.99	0.99	0.99	0.99
Generic_Rooftop_2031	0.99	0.99	0.99	0.99
Generic_Rooftop_2032	0.99	0.99	0.99	0.99
Generic_Rooftop_2033	0.99	0.99	0.99	0.99
Generic_Rooftop_2034	0.99	0.99	0.99	0.99
Generic_Rooftop_2035	0.99	0.99	0.99	0.99
Generic_Rooftop_2036	0.99	0.99	0.99	0.99
Generic_Rooftop_2037	0.99	0.99	0.99	0.99
Generic_Rooftop_2038	0.99	0.99	0.99	0.99
Generic_Rooftop_2039	0.99	0.99	0.99	0.99
Generic_Rooftop_2040	0.98	0.98	0.98	0.98
BESS_1_2_3	0.97	0.97	0.97	0.97
Chania_green	0.65	0.65	0.65	0.65
Kwale_Co-Generation_TAnaBiomass	0.65	0.65	0.65	0.65
Mumias_(Biomass)	0.94	0.94	0.94	0.94
Olkaria_I_	0.94	0.94	0.94	0.94
Olkaria_I_units_4_&_5	0.94	0.94	0.94	0.94
Olkaria_II	0.94	0.94	0.94	0.94
Olkaria_IV	0.94	0.94	0.94	0.94
Olkaria_Mobile_Wellheads___Eburru	0.94	0.94	0.94	0.94
Olkaria_V_	0.94	0.94	0.94	0.94
Orpower_4_(I)	0.94	0.94	0.94	0.94
Orpower_4_(II)	0.94	0.94	0.94	0.94
Orpower_4_(III)	0.94	0.94	0.94	0.94
Orpower_4_(IV)	0.89	0.89	0.89	0.89
Tsavo	0.92	0.92	0.92	0.92
Gulf_Energy_	0.82	0.82	0.82	0.82
Iberafrica_I_&II	0.92	0.92	0.92	0.92
Kipevu_I_Diesel	0.92	0.92	0.92	0.92
Kipevu_III_Diesel	0.92	0.92	0.92	0.92
Muhoroni	0.92	0.92	0.92	0.92
Rabai_Power	0.92	0.92	0.92	0.92
Thika_Power	0.92	0.92	0.92	0.92
Triumph_Diesel	0.99	0.99	0.99	0.99
Alten_Kesses_1_Kenya_Ltd	0.99	0.99	0.99	0.99
Eldosol-Cedate	0.99	0.99	0.99	0.99
Malindi_Solar-_Vateki	0.99	0.99	0.99	0.99
REA_Garissa_Solar	0.49	0.5	0.52	0.53
ExistingSmallHydro	0.43	0.44	0.44	0.46
Gitaru	0.52	0.52	0.52	0.51
