g,z,book,deca_plant,method,applied,annual_2020,annual_deca,annual_new,note
NUREK_2_HY_2019,TAJ_S,TJ,Nurek HPP,deca_level,deca_level,0.4698,0.4265,0.4265,
NUREK_3_HY_2023,TAJ_S,TJ,Nurek HPP,deca_level,deca_level,0.4698,0.4265,0.4265,
NUREK_4_HY_2024,TAJ_S,TJ,Nurek HPP,deca_level,deca_level,0.4698,0.4265,0.4265,
NUREK_5_HY_2020,TAJ_S,TJ,Nurek HPP,deca_level,deca_level,0.4698,0.4265,0.4265,
NUREK_6_HY_2025,TAJ_S,TJ,Nurek HPP,deca_level,deca_level,0.4698,0.4265,0.4265,
NUREK_7_HY_2021,TAJ_S,TJ,Nurek HPP,deca_level,deca_level,0.4698,0.4265,0.4265,
NUREK_8_HY_2031,TAJ_S,TJ,Nurek HPP,deca_level,deca_level,0.4698,0.4265,0.4265,
NUREK_9_HY_2026,TAJ_S,TJ,Nurek HPP,deca_level,deca_level,0.4698,0.4265,0.4265,
NUREK_NUREK1-_REHAB_HY_NEW_2031,TAJ_S,TJ,Nurek HPP,deca_level,deca_level,0.4698,0.4265,0.4265,
NUREK_NUREK2-_REHAB_HY_NEW_2031,TAJ_S,TJ,Nurek HPP,deca_level,deca_level,0.4698,0.4265,0.4265,
