gen,season,daytype,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Vuka Hydropower,Q2,d4,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571
Vuka Hydropower,Q2,d5,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571
Zenzo Hydropower,Q2,d1,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285
Zenzo Hydropower,Q2,d2,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285
Zenzo Hydropower,Q2,d3,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285
Zenzo Hydropower,Q2,d4,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285
Zenzo Hydropower,Q2,d5,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285
Bini A Warak,Q2,d1,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855
Bini A Warak,Q2,d2,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855
Bini A Warak,Q2,d3,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855
Bini A Warak,Q2,d4,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855
Bini A Warak,Q2,d5,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855
Edea,Q2,d1,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715
Edea,Q2,d2,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715
Edea,Q2,d3,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715
Edea,Q2,d4,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715
Edea,Q2,d5,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715
Mekin,Q2,d1,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428
Mekin,Q2,d2,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428
Mekin,Q2,d3,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428
Mekin,Q2,d4,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428
Mekin,Q2,d5,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428,0.5528571428571428
Memve'ele,Q2,d1,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144
Memve'ele,Q2,d2,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144
Memve'ele,Q2,d3,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144
Memve'ele,Q2,d4,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144
Memve'ele,Q2,d5,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144,0.6642857142857144
Minkouma,Q2,d1,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286
Minkouma,Q2,d2,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286
Minkouma,Q2,d3,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286
Minkouma,Q2,d4,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286
Minkouma,Q2,d5,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286,0.7185714285714286
Inga,Q2,d1,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572
Inga,Q2,d2,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572
Inga,Q2,d3,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572
Inga,Q2,d4,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572
Inga,Q2,d5,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572,0.9971428571428572
Inga 1,Q2,d1,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714
Inga 1,Q2,d2,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714
Inga 1,Q2,d3,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714
Inga 1,Q2,d4,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714
Inga 1,Q2,d5,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714,0.8414285714285714
Inga 2,Q2,d1,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286
Inga 2,Q2,d2,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286
Inga 2,Q2,d3,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286
Inga 2,Q2,d4,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286
Inga 2,Q2,d5,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286
Inga 3,Q2,d1,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286
Inga 3,Q2,d2,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286
Inga 3,Q2,d3,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286
Inga 3,Q2,d4,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286
Inga 3,Q2,d5,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286
Bikomo,Q2,d1,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857
Bikomo,Q2,d2,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857
Bikomo,Q2,d3,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857
Bikomo,Q2,d4,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857
Bikomo,Q2,d5,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857
Riaba,Q2,d1,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857
Riaba,Q2,d2,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857
Riaba,Q2,d3,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857
