gen,zone,tech,fuel,StYr,RetrYr,Capacity,Status,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,DescreteCap,fuel2,HeatRate2,MinUtilization,RETech,UnitSize,Unnamed: 26
Kilubi_HY_DRCSouth,DRC_South,ROR,Water,1954,2060,3.0,1,,,,,,0.27,,,0.0,0.0,50.0,,0.0,,0.0,0.0,0.0,0.0,
Kiwaba_Nzogi,Angola,OnshoreWind,Wind,2033,2063,106.0,3,,0.0,1.0,1.0,,,,,,,,62.0,0.0,,0.0,0.0,1.0,0.0,
Koeberg_NU_ZAF,South_Africa,ST,Uranium,1985,2045,1860.0,1,,10.53119469,0.1,0.1,0.0,0.0,100000.0,2.3,0.0,0.0,50.0,,0.0,,0.0,0.6,0.0,1800.0,
New_BESS_2029_ZAF,South_Africa,Storage,Battery,2029,2049,2615.0,2,,,,,,,,,,,,,,,,,,,
New_BESS_2028_ZAF,South_Africa,Storage,Battery,2028,2048,615.0,2,,,,,,,,,,,,,,,,,,,
Komati_BESS,South_Africa,Storage,Battery,2025,2045,513.0,2,,,,,,,,,,,,,,,,,,,
KomatiI_TH_ZAF,South_Africa,ST,Coal,1966,2022,500.0,1,,11.31,,,,,,,,0.0,,,0.0,,0.0,0.05,0.0,500.0,
KomatiII_TH_ZAF,South_Africa,ST,Coal,1966,2022,500.0,1,,11.31,,,,,,,,0.0,,,0.0,,0.0,0.05,0.0,500.0,
Koni_HY_DRCSouth,DRC_South,ROR,Water,1950,2060,26.0,1,,,,,,0.39,,,0.0,0.0,50.0,,0.0,,0.0,0.0,0.0,0.0,
Kriel_TH_ZAF,South_Africa,ST,Coal,1979,2032,2640.0,1,0.3,13.9,,,,,,,,0.0,,,0.0,,0.0,0.05,0.0,950.0,
Kusile_I_TH_ZAF,South_Africa,ST,Coal,2020,2070,1440.0,1,0.3,11.8,,,,,,,,0.0,,0.0,0.0,,0.0,0.05,0.0,800.0,
Kusile_II_TH_ZAF,South_Africa,ST,Coal,2023,2073,1440.0,1,0.3,11.8,,,,,,,,0.0,,0.0,0.0,,0.0,0.05,0.0,800.0,
