g,z,tech,f,Status,StYr,RetrYr,Capacity,BuildLimitperYear,Life,HeatRate,RampUpRate,RampDnRate,ResLimShare,Capex,FOMperMW,VOM,ReserveCost,UnitSize
PETKIM_NG,WestAna,CCGT,Gas,1,2009,2060,222.04,222.04,30,8.269358355,0.05,0.05,0.05,,20000,1,8,
BILGIN_1_NG,CenterBlack,CCGT,Gas,1,2013,2060,443.46,443.46,30,6.729219979,0.05,0.05,0.05,,20000,1,8,
BILGIN_2_NG,CenterBlack,CCGT,Gas,1,2013,2060,443.46,443.46,30,6.729219979,0.05,0.05,0.05,,20000,1,8,
TAHA_NG,SouthEast,CCGT,Gas,1,2016,2060,136,136,30,10.23599659,0.05,0.05,0.05,,20000,1,8,
TUPRAS_IZMIT_NG,NorthWest,CCGT,Gas,1,2013,2060,205.36,205.36,30,9.477774619,0.05,0.05,0.05,,20000,1,8,
EUAS_TEKIRDAG_A_NG,Trakia,CCGT,Gas,1,1999,2060,478,478,30,7.652537611,0.05,0.05,0.05,,20000,1,8,
EUAS_TEKIRDAG_B_NG,Trakia,CCGT,Gas,1,1999,2060,478,478,30,7.652537611,0.05,0.05,0.05,,20000,1,8,
KAZAN_NG,CenterAna,CCGT,Gas,1,2017,2060,379,379,30,7.456885519,0.05,0.05,0.05,,20000,1,8,
KIRIKKALE_NG,CenterAna,CCGT,Gas,1,2017,2060,927.4,927.4,30,6.602431583,0.05,0.05,0.05,,20000,1,8,
YENI_NG,NorthWest,CCGT,Gas,1,2013,2060,865,865,30,7.082258203,0.05,0.05,0.05,,20000,1,8,
EUAS_ISTANBUL_New_NG,Trakia,CCGT,Gas,2,2029,2060,900,900,30,5.88,0.05,0.05,0.05,0.78,20000,1,8,
VERBENA_NG,Trakia,CCGT,Gas,2,2026,2060,890.4,890.4,30,5.88,0.05,0.05,0.05,0.78,20000,1,8,
Generic_Gas_CCGT_WestMed,WestMed,CCGT,Gas,3,2029,2060,100000,5000,30,5.88,0.05,0.05,0.05,0.78,20000,1,8,
Generic_Gas_CCGT_WestAna,WestAna,CCGT,Gas,3,2029,2060,100000,5000,30,5.88,0.05,0.05,0.05,0.78,20000,1,8,
Generic_Gas_CCGT_EastMed,EastMed,CCGT,Gas,3,2029,2060,100000,5000,30,5.88,0.05,0.05,0.05,0.78,20000,1,8,
Generic_Gas_CCGT_EastAna,EastAna,CCGT,Gas,3,2029,2060,100000,5000,30,5.88,0.05,0.05,0.05,0.78,20000,1,8,
Generic_Gas_CCGT_SouthEast,SouthEast,CCGT,Gas,3,2029,2060,100000,5000,30,5.88,0.05,0.05,0.05,0.78,20000,1,8,
Generic_Gas_CCGT_NorthWest,NorthWest,CCGT,Gas,3,2029,2060,100000,5000,30,5.88,0.05,0.05,0.05,0.78,20000,1,8,
Generic_Gas_CCGT_CenterAna,CenterAna,CCGT,Gas,3,2029,2060,100000,5000,30,5.88,0.05,0.05,0.05,0.78,20000,1,8,
Generic_Gas_CCGT_CenterBlack,CenterBlack,CCGT,Gas,3,2029,2060,100000,5000,30,5.88,0.05,0.05,0.05,0.78,20000,1,8,
Generic_Gas_CCGT_Trakia,Trakia,CCGT,Gas,3,2029,2060,100000,5000,30,5.88,0.05,0.05,0.05,0.78,20000,1,8,
AKSA_AKRILIK_NG,NorthWest,OCGT,Gas,1,2009,2060,120,120,30,9,0.08,0.08,0.1,,15000,2.5,6,
HAYAT_KIMYA_NG,NorthWest,OCGT,Gas,1,2006,2060,45,45,30,11.28193428,0.08,0.08,0.1,,15000,2.5,6,
MARMARA_PAMUKLU_NG,Trakia,OCGT,Gas,1,2009,2060,43.65,43.65,30,9.00356651,0.08,0.08,0.1,,15000,2.5,6,
WestAna_AGG_NG,WestAna,OCGT,Gas,1,2000,2060,425.8979652,425.8979652,30,11.28193428,0.08,0.08,0.1,,15000,2.5,6,
WestMed_AGG_NG,WestMed,OCGT,Gas,1,2000,2060,139.3478594,139.3478594,30,11.28193428,0.08,0.08,0.1,,15000,2.5,6,
EastMed_AGG_NG,EastMed,OCGT,Gas,1,2000,2060,131.3653434,131.3653434,30,11.28193428,0.08,0.08,0.1,,15000,2.5,6,
EastAna_AGG_NG,EastAna,OCGT,Gas,1,2000,2060,31.5942086,31.5942086,30,11.28193428,0.08,0.08,0.1,,15000,2.5,6,
SouthEast_AGG_NG,SouthEast,OCGT,Gas,1,2000,2060,314.4130472,314.4130472,30,11.28193428,0.08,0.08,0.1,,15000,2.5,6,
NorthWest_AGG_NG,NorthWest,OCGT,Gas,1,2000,2060,664.0301831,664.0301831,30,11.28193428,0.08,0.08,0.1,,15000,2.5,6,
CenterAna_AGG_NG,CenterAna,OCGT,Gas,1,2000,2060,250.1990785,250.1990785,30,11.28193428,0.08,0.08,0.1,,15000,2.5,6,
CenterBlack_AGG_NG,CenterBlack,OCGT,Gas,1,2000,2060,69.42106176,69.42106176,30,11.28193428,0.08,0.08,0.1,,15000,2.5,6,
Trakia_AGG_NG,Trakia,OCGT,Gas,1,2000,2060,697.7552528,697.7552528,30,11.28193428,0.08,0.08,0.1,,15000,2.5,6,
Generic_Gas_OCGT_WestMed,WestMed,OCGT,Gas,3,2029,2060,100000,5000,30,8.75,0.08,0.08,0.1,0.425,15000,2.5,6,
Generic_Gas_OCGT_WestAna,WestAna,OCGT,Gas,3,2029,2060,100000,5000,30,8.75,0.08,0.08,0.1,0.425,15000,2.5,6,
Generic_Gas_OCGT_EastMed,EastMed,OCGT,Gas,3,2029,2060,100000,5000,30,8.75,0.08,0.08,0.1,0.425,15000,2.5,6,
Generic_Gas_OCGT_EastAna,EastAna,OCGT,Gas,3,2029,2060,100000,5000,30,8.75,0.08,0.08,0.1,0.425,15000,2.5,6,
Generic_Gas_OCGT_SouthEast,SouthEast,OCGT,Gas,3,2029,2060,100000,5000,30,8.75,0.08,0.08,0.1,0.425,15000,2.5,6,
Generic_Gas_OCGT_NorthWest,NorthWest,OCGT,Gas,3,2029,2060,100000,5000,30,8.75,0.08,0.08,0.1,0.425,15000,2.5,6,
Generic_Gas_OCGT_CenterAna,CenterAna,OCGT,Gas,3,2029,2060,100000,5000,30,8.75,0.08,0.08,0.1,0.425,15000,2.5,6,
Generic_Gas_OCGT_CenterBlack,CenterBlack,OCGT,Gas,3,2029,2060,100000,5000,30,8.75,0.08,0.08,0.1,0.425,15000,2.5,6,
