z,g,uni,y,value
South_Africa,Kusile_I_TH_ZAF,Fixed O&M: $m,2035,64.8
South_Africa,Kusile_I_TH_ZAF,Variable Cost: $m,2025,532.7575201486515
South_Africa,Kusile_I_TH_ZAF,Variable Cost: $m,2026,512.2666925157266
South_Africa,Kusile_I_TH_ZAF,Variable Cost: $m,2027,492.6727723648114
South_Africa,Kusile_I_TH_ZAF,Variable Cost: $m,2028,473.9365009388449
South_Africa,Kusile_I_TH_ZAF,Variable Cost: $m,2029,408.4130077761951
South_Africa,Kusile_I_TH_ZAF,Variable Cost: $m,2030,354.70300876495753
South_Africa,Kusile_I_TH_ZAF,Variable Cost: $m,2031,330.2301888144869
South_Africa,Kusile_I_TH_ZAF,Variable Cost: $m,2032,320.38214602638266
South_Africa,Kusile_I_TH_ZAF,Variable Cost: $m,2033,306.7393538117477
South_Africa,Kusile_I_TH_ZAF,Variable Cost: $m,2034,271.99254275170335
South_Africa,Kusile_I_TH_ZAF,Variable Cost: $m,2035,272.87631871585387
South_Africa,Kusile_II_TH_ZAF,Fixed O&M: $m,2025,64.8
South_Africa,Kusile_II_TH_ZAF,Fixed O&M: $m,2026,64.8
South_Africa,Kusile_II_TH_ZAF,Fixed O&M: $m,2027,64.8
South_Africa,Kusile_II_TH_ZAF,Fixed O&M: $m,2028,64.8
South_Africa,Kusile_II_TH_ZAF,Fixed O&M: $m,2029,64.8
South_Africa,Kusile_II_TH_ZAF,Fixed O&M: $m,2030,64.8
